id,texto
1,Usar protetor solar só no verão
2,Tomar sol até ficar vermelho na praia
3,Amassar o cabelo facilmente
4,Ficar vermelho quando ri ou chora
5,Reclamar do gerente quando o atendimento demora
6,"Pedir pra ""falar com o responsável"""
7,Devolver o prato na cozinha sem cerimônia
8,"Pedir comida sem pimenta ""porque é muito forte"""
9,Ter ido pra Disney antes dos 15
10,Ganhar mesada dos pais até os 20
11,"Achar açaí com granola ""o açaí de verdade"""
12,"Chamar feijoada de ""comida pesada demais"""
13,Reclamar do som do vizinho às 22h
14,"Ter sobrenome composto com ""de"" no meio"
15,"Passar férias na ""casa da praia da família"""
16,Falar inglês com sotaque carregado e achar lindo
17,Ter intolerância a lactose e a glúten ao mesmo tempo
18,Pedir desconto e ainda se achar esperto
19,"Chamar a segurança porque tem alguém ""estranho"" na rua"
20,"Achar que conseguiu tudo ""no esforço próprio"""
21,"Ter passado no vestibular ""sem cota nenhuma"""
22,"Ter babá que ""é quase da família"""
23,Levar o cachorro pra creche pet
24,"Achar samba ""muito repetitivo"""
25,Pedir o ponto da carne e devolver se vier diferente
26,"Ter um quarto só pra ""guardar as coisas"""
27,"Falar que ""no meu tempo era tudo diferente"""
28,Reclamar de imposto e usar o SUS quando precisa
29,Comprar água de coco em caixinha
30,"Achar que ""isso é mimimi"" sempre que o assunto é racismo"
