id,texto
1,Morrer numa trilha radical que fez só pra postar
2,"Pular de paraquedas ""pra sentir adrenalina"" e não abrir"
3,Ter o esporte como única saída e quebrar o joelho aos 17
4,Morrer afogado atravessando a corredeira por desafio
5,Ter o sonho do futebol como único plano B de um plano A que nunca veio
6,Empinar pipa com cerol e alguém perder a vida na linha
7,Ser vendido pra Europa aos 16 e voltar quebrado aos 20
8,"Mergulhar em caverna submersa ""por esporte"" e não voltar"
9,Ter o corpo cobrado até romper e ser dispensado sem nada
10,Morrer escalando montanha gelada por uma coleção de fotos
11,Ser o craque da quebrada que parou por não ter dinheiro da passagem
12,"Treinar a vida toda e ser cortado por não ter ""padrinho"""
13,Apostar tudo no esporte porque o estudo nunca foi oferecido
14,Encarar uma onda gigante pra provar algo e não voltar
15,Ter a carreira encerrada por uma lesão e nenhum plano de saúde
16,Ser explorado por empresário e terminar sem aposentadoria
17,Saltar de bungee jump sem conferir nada e virar manchete
18,Ter o talento descoberto tarde demais pra mudar a história
19,Carregar a família nas costas desde os 15 por causa de um gol
20,Morrer de exaustão num treino sem assistência médica
21,Ser o garoto promissor que virou nota de tragédia
22,Ter o joelho como única aposentadoria e ele falhar
23,Encarar esporte radical caro achando que controlava o risco
24,Ser usado como propaganda e descartado quando o corpo cansou
25,Morrer num rali no deserto que fez por hobby
26,Ter a peneira como única chance e perder o ônibus pra ela
27,Ser ídolo nos gramados e esquecido na velhice
28,Arriscar a vida no wingsuit por uma filmagem
29,Pôr a vida em risco pela bolsa que paga o aluguel do mês
30,Ser lembrado pelo gol e esquecido na miséria
