id,texto
1,Chegar atrasado na festa
2,Abraçar desconhecido na festa
3,Tomar vinho toda semana
4,Falar alto em público
5,Dançar no meio da rua
6,Ter o rosto bem expressivo
7,Compartilhar o prato no restaurante
8,Rezar antes de comer
9,Ajudar desconhecido com o carro parado
10,Dar presente embrulhado em sacola
11,Fazer terapia toda semana
12,Bater palma enquanto ri e fala
13,Tomar cafezinho logo depois do almoço
14,"Dar tchau pra todo mundo da festa, um por um"
15,"Falar ""ai que delícia"" pra qualquer comida"
16,Andar de meia com sandália
17,Ter a avó que cozinha pra um batalhão
18,Saber rebolar desde criança
19,Levar o próprio vinho pro rodízio
20,Cantar o parabéns mais alto que todo mundo
21,Conhecer todo mundo do prédio pelo nome
22,Levar marmita pro trabalho todo dia
23,"Chamar o garçom de ""chefe"""
24,Tirar o sapato assim que chega em casa
25,Ter um chinelo só pra usar dentro de casa
26,Cumprimentar todo mundo com beijo no rosto
27,Servir o café da visita na xícara boa
28,Mandar áudio de cinco minutos no zap
29,Guardar sacola plástica dentro de outra sacola
30,Reclamar do calor sem desligar o ventilador
