id,texto
1,Cantar no chuveiro
2,Saber a letra inteira de uma música e errar todas as outras
3,Fazer playlist pra cada humor
4,Cantar parabéns desafinado e feliz
5,Bater na mesa pra fazer ritmo
6,Assobiar música na rua
7,Colocar música alta limpando a casa
8,Cantar em karaokê sem vergonha
9,Saber dançar pelo menos um passinho
10,Ter aquela música que sempre cai no choro
11,Ouvir a mesma música cinquenta vezes seguidas
12,Cantar no carro parado no sinal
13,Decorar coreografia de clipe
14,Mandar áudio cantando pro crush
15,Ter fone só de um lado funcionando e nem ligar
16,Fazer dueto com a panela na cozinha
17,Saber a música toda só pelo refrão
18,Chorar em show mesmo sem conhecer a música
19,"Gritar ""música!"" quando toca a sua favorita"
20,Dançar sozinho no quarto
21,Cantar errado a letra a vida inteira
22,"Ter playlist chamada ""as boas"""
23,Bater palma fora do ritmo
24,Levantar a mão no show e balançar
25,Cantar o solo de guitarra com a boca
26,Ter uma música que define cada ex
27,Acordar com música na cabeça
28,Fazer beatbox ruim só pra zoar
29,Cantar no ouvido de quem não pediu
30,Repetir a parte boa da música três vezes
