id,texto
1,Jogar golfe no fim de semana
2,Jogar bola na rua de chinelo
3,Fazer aula de tênis no clube
4,Jogar pelada de várzea no domingo
5,Velejar no fim de semana
6,Soltar pipa na laje
7,Esquiar nas férias de julho
8,Fazer capoeira na roda
9,Andar a cavalo no hipismo
10,Jogar queimada na rua até escurecer
11,Fazer crossfit na franquia cara
12,Treinar boxe no projeto social
13,Surfar em praia badalada
14,Jogar futsal na quadra da quebrada
15,Mergulhar com cilindro no feriado
16,Empinar pipa a tarde inteira
17,Escalar em academia boutique
18,Jogar bola descalço no campinho
19,Fazer stand up paddle no condomínio
20,Correr na pista do parque público
21,Fazer trilha com equipamento importado
22,Jogar peteca na laje
23,Jogar vôlei na areia do clube
24,Fazer skate na praça
25,Fazer triatlo e postar o tempo
26,Tratar dominó como esporte de alto rendimento
27,Andar de bike de marca em ciclovia chique
28,Pular corda no quintal
29,Fazer hidroginástica no clube
30,Disputar racha de bola no fim de tarde
