id,texto
1,Se vestir bem pra não ser confundido com assaltante
2,"Ouvir que trança ""não é profissional"""
3,Ver turbante virar tendência na boca de quem chamava de feio
4,"Ter o cabelo natural chamado de ""descuidado"" no trabalho"
5,"Ouvir que black power ""não combina com ambiente formal"""
6,"Ser barrado na loja pela cara, não pela roupa"
7,"Ver a mesma roupa ser ""estilo"" num e ""bandidagem"" no outro"
8,"Ouvir que boné e corrente ""passam imagem ruim"""
9,Ter que se arrumar mais que os outros pra ser levado a sério
10,Ver dreads em desfile de grife e proibido no crachá
11,"Ouvir ""esse cabelo dá pra prender?"" na entrevista"
12,Ter a estampa africana copiada sem crédito na passarela
13,Ser seguido na loja mesmo de roupa cara
14,"Ouvir que argola grande é ""vulgar"""
15,"Ver a moda ""favela chique"" desfilar longe da favela"
16,Ter o look julgado antes do currículo
17,"Ouvir que precisa ""alisar pra causar boa impressão"""
18,Ver a grife lucrar com a estética da quebrada
19,"Ser o único cobrado por ""dress code"" na firma"
20,"Ouvir que turbante ""é fantasia"" e não cultura"
21,"Ter unha decorada chamada de ""exagero"" no escritório"
22,"Ver o cabelo crespo virar ""trend"" só em modelo branca"
23,Ser revistado de terno e gravata mesmo assim
24,"Ouvir ""tá muito produzido pra vir aqui"""
25,Ter o estilo apropriado e o corpo rejeitado
26,Ver bonés e correntes nas vitrines e suspeição na rua
27,"Ouvir que o cabelo ""precisa de uma ajeitada"" pra foto da empresa"
28,"Ter a roupa de marca questionada como ""será que é original?"""
29,"Ver desfilarem o que te chamaram de ""coisa de favelado"""
30,Caprichar no visual e ainda ser parado na portaria
