id,texto
1,Ouvir rock clássico e achar insuperável
2,Curtir pagode todo domingo
3,Ir ao Lollapalooza todo ano
4,Ir ao baile funk no fim de semana
5,Tocar violão na roda cantando Legião Urbana
6,Participar de roda de samba na laje
7,Ouvir bossa nova no vinil
8,Ouvir Racionais no volume máximo
9,Estudar teoria musical clássica
10,Ouvir rap nacional desde criança
11,"Ouvir jazz ""pra relaxar"" no apartamento"
12,Curtir axé no carnaval da Bahia
13,Tocar piano clássico
14,Tocar atabaque ou pandeiro
15,Curtir sertanejo universitário
16,Dançar charme num baile black
17,Ouvir Coldplay e achar profundo
18,Ouvir Tim Maia o dia inteiro
19,"Curtir indie gringo (Arctic Monkeys, Strokes)"
20,Curtir Emicida e Djonga
21,Ouvir música eletrônica em festival
22,Ouvir Martinho da Vila com a família
23,Cantar MPB com violão na varanda
24,Ouvir trap brasileiro
25,"Ouvir Beatles e dizer que ""música boa acabou"""
26,Ouvir samba-reggae e maracatu
27,Ouvir Taylor Swift e saber cada era
28,Curtir reggae no fim de tarde
29,Ir a show de rock nacional
30,"Curtir pagode 90 (Raça Negra, Só Pra Contrariar)"
