id,texto
1,Morrer pisoteado numa operação policial no baile
2,"O baile acabar com gente morta e a manchete dizer ""tumulto"""
3,Ter o gênero que você criou proibido por lei
4,Morrer pobre depois de inventar o ritmo que todo mundo lucra
5,Ver o samba que você criou enriquecer quem nunca te citou
6,Morrer esquecido enquanto regravam sua música
7,"Ter o baile invadido e os jovens chamados de ""suspeitos"""
8,Morrer jovem e virar homenagem póstuma rentável
9,"Ter a roda fechada na bala por ""perturbação do sossego"""
10,Compor o hit do verão e morrer sem ver um centavo
11,Ser preso por cantar o que viu na quebrada
12,Ter a obra reconhecida só no obituário
13,Morrer no anonimato e renascer em sample de gringo
14,Ver a polícia entrar no baile atirando e a culpa sobrar pra vítima
15,Ter o nome do ritmo nos tribunais antes dos prêmios
16,Morrer devendo enquanto sua voz vende ringtone
17,Cantar em esquina e morrer sem cachê
18,"Ter o funk tratado como caso de polícia, não de cultura"
19,"Ser lembrado como ""polêmico"" e nunca como artista"
20,Morrer e a gravadora lançar o disco que segurou em vida
21,Ver o baile da sua quebrada virar estatística
22,Ter o ritmo censurado e o plágio premiado
23,Morrer cedo e virar estampa de camiseta
24,Compor pra todo mundo e ser enterrado por ninguém
25,Ter a música tocando no rádio e a família passando fome
26,Ser silenciado em vida e celebrado em documentário
27,Ver a quebrada chorar num funeral que a cidade ignora
28,Ter a batida copiada e o crédito apagado
29,Morrer pobre num país que dança o que você criou
30,Ser trilha sonora do país e nota de rodapé na história
