id,texto
1,"Usar look ""old money"" e achar discreto"
2,"Combinar boné, corrente e tênis de marca"
3,Ter guarda-roupa cápsula só em tons neutros
4,Usar turbante e estampa africana com orgulho
5,Usar mocassim sem meia
6,Ter o cabelo como o acessório principal do look
7,"Usar camisa de linho ""só pra viagem"""
8,Usar tranças com miçangas
9,Usar óculos de grau sem grau
10,"Caprichar no look pra ""não dar brecha"""
11,Ter tote bag de livraria
12,Usar corrente de ouro herdada da família
13,Comprar tênis branco minimalista caríssimo
14,Assumir o cabelo black power
15,"Garimpar brechó e pagar caro por ""vintage"""
16,Combinar o conjunto de moletom todo no tom
17,Usar suéter amarrado no ombro
18,Combinar a roupa com o detalhe do tênis
19,Ter relógio de herança no pulso
20,Chegar sempre bem vestido pra não ser barrado
21,Usar all star surrado de propósito
22,Usar pochete de marca atravessada
23,Ter calça de alfaiataria pra trabalhar
24,Usar headband e bucket hat no rolê
25,"Ter um casaco de grife ""atemporal"""
26,Usar anel de prata em todos os dedos
27,Investir num tênis de edição limitada
28,Usar lenço de seda no pescoço
29,"Ter o tênis de marca impecável, sempre limpo"
30,"Comprar peça de grife e achar ""questão de qualidade"""
