id,texto
1,Jurar que vai começar a correr segunda
2,Comprar tênis de corrida e usar pra ir ao mercado
3,Assistir jogo gritando como se o jogador ouvisse
4,Ser técnico de sofá
5,Cansar subindo um lance de escada
6,Querer fazer trilha e desistir no primeiro aclive
7,Comprar bicicleta e deixar enferrujar na garagem
8,Fazer alongamento e estalar tudo
9,Entrar na pelada e passar mal no primeiro tempo
10,Baixar app de treino e abrir só uma vez
11,Jogar futebol e culpar o juiz pela derrota
12,Achar que nada bem e engolir água
13,Ir pra academia tirar foto no espelho
14,Comprar prancha de stand up e usar uma vez
15,Combinar de jogar bola e cancelar no grupo
16,Ter dor muscular dois dias depois do treino
17,Comemorar gol derrubando tudo na sala
18,Querer pedalar e furar o pneu na primeira saída
19,Ser o último escolhido pro time
20,Fazer aposta de futebol e perder com a própria escolha
21,Levar bola pra praia e esquecer dentro do carro
22,Achar que é rápido até apostar corrida com criança
23,Comprar corda de pular e tropeçar nela
24,Querer escalar e travar de medo na primeira pedra
25,Fazer agachamento errado e reclamar do joelho
26,Ir ao estádio e gastar mais na barraca que no ingresso
27,Torcer tanto que perde a voz
28,Treinar uma semana e achar que mudou o corpo
29,"Comprar luva de boxe pra ""descontar o estresse"""
30,"Chamar caminhada de ""treino pesado"""
