id,texto
1,Morrer testando se o colete à prova de balas é eficiente mesmo
2,"Morrer fazendo trilha extrema sozinho, sem avisar ninguém"
3,Morrer de uma doença rara com nome impronunciável
4,Morrer pulando de bungee jump sem conferir a corda
5,"Morrer de overdose de suplemento ""100% natural"""
6,Morrer tentando tirar selfie com animal selvagem
7,"Morrer escalando montanha ""pra se reconectar com a natureza"""
8,Morrer de complicação em cirurgia plástica eletiva
9,Morrer de hipotermia esquiando fora da pista demarcada
10,Morrer engasgado numa degustação de ostras
11,"Morrer velho, dormindo, cercado pela família"
12,"Ter a morte virar reportagem de ""aventureiro destemido"""
13,Ter plano de saúde que cobre até tratamento experimental
14,"Morrer e a notícia começar com ""aventureiro"""
15,"Morrer e a manchete começar com ""suspeito"""
16,Morrer na fila esperando atendimento
17,"Ter a morte registrada como ""resistência seguida de morte"""
18,Morrer e os jornais correrem atrás da ficha criminal
19,Sair pra comprar pão e não voltar pra casa
20,Morrer e ninguém ser responsabilizado por nada
21,Virar número numa estatística antes de virar notícia
22,"Morrer de ""bala perdida"" que parece sempre achar o caminho"
23,Ter o velório cheio de gente jovem demais
24,"Morrer e a primeira pergunta de todos ser ""o que ele fez?"""
25,Morrer e o laudo demorar mais que a investigação
26,"Ter a morte resumida a ""confronto"""
27,Morrer e a foto do RG circular como prova de antecedente
28,Esperar anos por uma resposta que nunca chega
29,Morrer e o caso virar nota de rodapé no jornal
30,Ter a vida vigiada e a morte esquecida
