id,texto
1,Comprar o terno mais caro pra ter no caixão a dignidade que faltou em vida
2,Guardar a melhor roupa pro velório
3,"Ter o corpo descrito pela polícia pela roupa, não pelo nome"
4,"Ser identificado no jornal só pelo ""moletom escuro"""
5,Virar suspeito por causa do capuz
6,Ter o boné usado como prova contra você
7,"Ser parado porque a roupa ""batia com a descrição"""
8,Comprar roupa de marca com o primeiro salário só pra provar que existe
9,"Ter o estilo apagado no obituário e sobrar só ""vestia roupas largas"""
10,Vender o tênis dos sonhos pra pagar conta
11,Herdar a roupa do irmão mais velho que não cresceu
12,"Ter a única foto boa sendo a do RG, de gola e cara séria"
13,Gastar o que não tem pra não parecer pobre
14,Ter a roupa de domingo sendo a mesma de toda ocasião
15,Comprar fiado a roupa da formatura que ninguém da família teve
16,Ser lembrado pela cor da blusa no boletim de ocorrência
17,Passar a vida se vestindo pra não dar motivo e dar do mesmo jeito
18,Costurar a própria roupa porque a renda não fecha
19,Ter o look classificado como suspeito antes mesmo de você nascer
20,Usar a corrente de ouro como única poupança da casa
21,Ser enterrado com a camisa do time porque era o que tinha
22,Ter a roupa rasgada na revista e ninguém pedir desculpa
23,Comprar uniforme escolar parcelado em seis vezes
24,Ter o terno alugado pra única foto elegante da vida
25,"Ser descrito como ""indivíduo de bermuda"" depois de morto"
26,Guardar a etiqueta pra devolver caso falte dinheiro
27,Ter o melhor sapato reservado só pra enterro e formatura
28,Passar pano no único tênis pra durar mais um ano
29,Ver a roupa decidir como vão te tratar antes de você falar
30,Ser visto pela roupa a vida inteira e nunca pela pessoa
