id,texto
1,"Ser elogiado só pelo ""dom natural"" e nunca pela técnica"
2,"Ouvir que ""preto leva jeito pra bola"" como se fosse só isso"
3,Ser o único negro na aula de tênis e sentir os olhares
4,"Ser barrado na portaria do clube ""de sócios"""
5,Ouvir grito de macaco da arquibancada
6,Ter banana jogada no campo
7,Ser ótimo no futebol e nunca lembrado pra natação ou vela
8,Ser tratado como atleta e nunca como técnico ou dirigente
9,"Ouvir que ""esse esporte não é pra vocês"""
10,Ser revistado na entrada do estádio mais que os outros
11,Ter o talento explorado e o salário não
12,Ser comemorado no gol e xingado no erro
13,Não ter acesso ao esporte caro e ainda ser cobrado por não praticar
14,"Ouvir que ""lugar de preto é no esporte ou na música"""
15,"Ser o único da pelada que chega de ônibus, não de carro"
16,"Ter o desempenho atribuído à ""raça"" e não ao treino"
17,Ver craque negro virar vagabundo assim que para de marcar gol
18,"Ouvir ""joga bem pra quem veio de onde veio"""
19,"Ser sub-representado na natação, no tênis, no golfe"
20,Ter o filho com talento e nenhuma escolinha que caiba no bolso
21,Ser confundido com o roupeiro no vestiário do time
22,"Ouvir que cabelo black ""atrapalha o capacete"""
23,"Ser cobrado a ""dar exemplo"" e nunca poder errar"
24,Ter o ídolo negro virar alvo de racismo a cada derrota
25,Ser o reforço barato que o clube descarta primeiro
26,"Ouvir que ""ginga é coisa de raça"" e não de prática"
27,"Ser parado pela segurança do clube ""pra confirmar se é sócio"""
28,Ter a torcida adversária imitando macaco
29,Ser elogiado pela força física e nunca pela inteligência de jogo
30,Ver o esporte abrir uma porta e a sociedade fechar todas as outras
