id,texto
1,Andar com a identidade sempre
2,Aprender cedo a andar com a nota fiscal na mão
3,Procurar outros da sua cor nos lugares onde chega
4,Ter cuidado redobrado com a bolsa ao entrar na loja
5,Ser seguido pelo segurança no shopping
6,Ser o primeiro acusado quando algo some
7,"Ouvir ""nossa, você é tão articulado"""
8,Ser confundido com o manobrista
9,Ser confundido com o entregador
10,Ser confundido com o segurança da loja
11,Ter gente pedindo pra tocar no seu cabelo
12,Ser o único da sua cor na sala de reunião
13,"Ouvir ""mas você nem parece"" como se fosse elogio"
14,Ter que provar duas vezes que o produto é seu
15,"Ser parado pra ""averiguação"" voltando pra casa"
16,"Ouvir que ""ganhou a vaga só por causa da cota"""
17,"Ter o cabelo chamado de ""rebelde"" na escola"
18,Receber olhar de surpresa quando diz onde mora
19,"Ser tratado por ""você"" enquanto chamam o outro de ""senhor"""
20,Ter a competência questionada antes de abrir a boca
21,"Ouvir ""que cabelo exótico"""
22,"Ser o exemplo citado no ""mas eu tenho amigo..."""
23,Andar mais rápido pra não parecer suspeito
24,"Avisar onde vai antes de sair, por garantia"
25,"Ouvir ""você fala muito bem"""
26,"Ser revistado ""por amostragem"" no aeroporto"
27,"Sorrir mais pra parecer ""menos ameaçador"""
28,Ser atendido só depois de quem chegou depois
29,"Ser ""amigão"" no trabalho e ""rapaz"" pra polícia"
30,"Guardar o comprovante de tudo, por via das dúvidas"
