id,texto
1,"Curtir funk mas chamar de ""música de favela"""
2,"Achar samba ""coisa de preto"" e dançar escondido"
3,Ouvir rap e nunca ter ido onde o rap nasceu
4,"Aplaudir a ""world music"" e torcer o nariz pro pagode"
5,Chamar funk de crime e pop gringo de arte
6,Curtir trança e turbante em festival mas não a história
7,"Descobrir o samba só quando virou ""vintage"""
8,"Achar charme ""datado"" e disco ""atemporal"""
9,"Falar que ""funk não é música"""
10,Curtir black music gringa e ignorar a brasileira
11,Aplaudir a versão branca da música preta
12,"Achar axé ""brega"" até virar hit no exterior"
13,Ouvir reggae sem saber de onde veio
14,"Dançar o passinho e chamar de ""viral"""
15,"Curtir capoeira como ""exercício"" e esquecer a raiz"
16,"Achar que rap ""incita violência"" mas rock não"
17,Ter o baile funk fechado pela polícia toda semana
18,Ver o funk virar internacional na voz de quem não é da quebrada
19,Curtir o ritmo preto e evitar o artista preto
20,"Chamar pagode de ""barulho"" no churrasco do vizinho"
21,Aplaudir o samba no réveillon e reclamar dele no resto do ano
22,"Ouvir que sua música ""não é cultura, é zoeira"""
23,"Ver o maracatu virar ""tendência de moda"""
24,"Achar afrobeat ""exótico"" e indie ""sofisticado"""
25,Curtir a estética e não a luta
26,Ter o som baixado pela polícia no baile
27,"Ver a roda de samba ser denunciada por ""perturbação"""
28,Curtir o feat com o artista preto só pra dar moral
29,"Achar que tambor é ""barulho"" e violino é ""arte"""
30,Descobrir o artista preto só depois que ele morreu
