id,texto
1,Ter uma camiseta favorita furada e não largar
2,Comprar roupa e deixar com etiqueta por meses
3,Usar a mesma roupa preta pra tudo
4,Achar que combina e ninguém concordar
5,"Guardar roupa ""de sair"" que nunca sai"
6,Ter chinelo que já virou parte do pé
7,Usar boné pra esconder cabelo não lavado
8,Repetir o mesmo look em toda foto
9,Ter a gaveta da bagunça que não fecha
10,Comprar tênis branco e morrer de medo de sujar
11,Reaproveitar camiseta de evento como pijama
12,"Ter aquela peça ""pra quando emagrecer"""
13,Usar meia furada e torcer pra ninguém ver
14,Achar roupa nova no fundo do armário
15,Comprar três da mesma peça que gosta
16,Vestir a primeira coisa que vê de manhã
17,Usar a blusa do avesso o dia todo sem perceber
18,Ter casaco favorito que já foi do irmão
19,"Guardar sacola de loja boa ""pra dar presente"""
20,Usar roupa de academia sem ir à academia
21,Ter um tênis pra cada humor
22,Deixar o cadarço arrastando e nem ligar
23,Comprar óculos de sol e perder na primeira semana
24,Usar a mesma jaqueta há dez anos
25,Achar que preto emagrece e usar só preto
26,Ter pijama que também sai pra padaria
27,Enrolar a barra da calça com fita adesiva
28,Usar a camiseta do time pra dormir
29,Esquecer a etiqueta pendurada e sair assim
30,Ter uma peça da sorte pra entrevista
